sma_slow,sma_mid,sma_fast,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
7,26,800,1,3.4,2.1,3,5,20,11,15,1600,7.093002378,11,0,-0.139242569
7,26,800,1,3.4,2.1,3,5,23,11,15,1600,10.15445435,10,0,-0.762045324
15,26,800,3,3.4,2.1,3,17,26,11,15,1600,7.078490628,27,0,2.741321881
7,26,800,1,3.4,2.1,3,5,29,11,15,1600,7.548831143,11,0,-0.706541208
7,26,800,1,3.4,2.1,3,8,2,11,15,1600,12.47885398,15,0,-1.257021411
7,26,800,1,3.4,2.1,3,8,5,11,15,1600,8.265398456,11,0,0.063080516
7,26,800,1,3.4,2.1,3,8,8,11,15,1600,3.911077907,10,0,1.311485049
7,26,800,1,3.4,2.1,3,8,11,11,15,1600,9.962322326,9,0,-0.639228467
7,26,800,1,3.4,2.1,3,8,14,11,15,1600,26.82635126,11,0,-0.787457147
7,26,800,1,3.4,2.1,3,8,17,11,15,1600,5.503044243,11,0,2.962150474
7,26,800,1,3.4,2.1,3,8,20,11,15,1600,6.794265494,12,0,-0.340080056
7,26,800,1,3.4,2.1,3,8,23,11,15,1600,9.778737835,12,0,-0.175495962
15,29,800,3,3.4,2.1,3,17,26,11,15,1600,7.078490628,27,0,2.741321881
7,26,800,1,3.4,2.1,3,8,29,11,15,1600,5.883762217,11,0,-0.2038794
7,26,800,1,3.4,2.1,3,11,2,11,15,1600,6.604063091,20,0,1.363999344
7,26,800,1,3.4,2.1,3,11,5,11,15,1600,1.577289366,9,0,5.08115621
7,26,800,1,3.4,2.1,3,11,8,11,15,1600,8.836992714,10,0,0.314003657
7,26,800,1,3.4,2.1,3,11,11,11,15,1600,6.213714274,16,0,2.316490577
7,26,800,1,3.4,2.1,3,11,14,11,15,1600,6.505950677,11,0,-0.086418698
7,26,800,1,3.4,2.1,3,11,17,11,15,1600,10.97127404,10,0,-1.292582213
7,26,800,1,3.4,2.1,3,11,20,11,15,1600,4.664948222,7,0,-0.593829697
7,26,800,1,3.4,2.1,3,11,23,11,15,1600,27.36268225,13,0,-1.065909849
7,26,800,1,3.4,2.1,3,11,26,11,15,1600,7.983257496,9,0,-0.83745545
7,26,800,1,3.4,2.1,3,11,29,11,15,1600,9.85384522,7,0,-1.333454992
7,26,800,1,3.4,2.1,3,14,2,11,15,1600,11.44044569,17,0,0.039521643
